Distrito,Cluster,OLT,F,S,P,Cuenta,Código QR,Capacidad,Latitud,Longitud,NOMBRE_SPLITTER,Ubicacion
COACALCO,COACALCO,COACALCO_DF,0,1,1,0101080457,TP631902,1:16,19.627037531255024,-99.09382816404104,TP631902,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0104285097,TP792616,1:8,19.622058926000275,-99.0949684381485,TP792616,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0140171509,TP792616,1:8,19.622058926000275,-99.0949684381485,TP792616,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0141699363,TP792616,1:8,19.622058926000275,-99.0949684381485,TP792616,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0142623217,TP792616,1:8,19.622058926000275,-99.0949684381485,TP792616,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0200730163,TP792616,1:8,19.622058926000275,-99.0949684381485,TP792616,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0123341788,TP792616,1:8,19.622058926000275,-99.0949684381485,TP792616,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0141825215,TP792616,1:8,19.622058926000275,-99.0949684381485,TP792616,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0100261988,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0105300878,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0103631631,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0102758761,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0117774587,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0142513577,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0103298860,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0124276702,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0101687313,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141821270,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0102567105,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0132704005,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0106928430,TP579091,1:16,19.618712610257948,-99.09914061427116,TP579091,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0142608059,TP579352,1:16,19.617887389749935,-99.09879695624113,TP579352,Poste
