Orden de Trabajo,Cuenta de Cliente,Centro,Almacén,Cantidad,Número de Empleado,Orden de Servicio,Fecha de Ingreso,Descripcion de Material ,Categoria de Material,Tipo de Servicio,Empresa,Causa del Soporte,Costo Unitario,Costo Total,Geocerca
33789543,0140519937,RE29,0634,1,RCEE3CMXT4794,OS-61650356,46112,ONT FIBERHOME HG145F1,ONT,Soporte,RCE 3,Falla En Puerto Óptico,520.27,520.27,COA_5
33789543,0140519937,RE29,0634,10,RCEE3CMXT4794,OS-61650356,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,RCE 3,Falla En Puerto Óptico,9.07,90.7,COA_5
33789736,0122623156,RE29,0524,5,RCEE3CMXT4618,OS-61650518,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,RCE 3,Mala Instalación Del Cableado,9.07,45.35,COA_3
33789736,0122623156,RE29,0524,10,RCEE3CMXT4618,OS-61650518,46112,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Soporte,RCE 3,Mala Instalación Del Cableado,7.67,76.7,COA_3
33789736,0122623156,RE29,0524,15,RCEE3CMXT4618,OS-61650518,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,Mala Instalación Del Cableado,6.43,96.45,COA_3
33789736,0122623156,RE29,0524,1,RCEE3CMXT4618,OS-61650518,46112,AP FIBERHOME MODELO SR1041E WIFI 6,Extender,Soporte,RCE 3,Mala Instalación Del Cableado,297.27,297.27,COA_3
33789736,0122623156,RE29,0524,1,RCEE3CMXT4618,OS-61650518,46112,DIW362 WIFI4K2GB STB SAGEM C/CONTROL T4H,STB,Soporte,RCE 3,Mala Instalación Del Cableado,#N/D,#N/D,COA_3
33795926,0102250446,RE29,0762,1,RCEE3CMXT5131,OS-61657860,46112,CONECTOR PREPULIDO 250UM,Conector  SC,Soporte,RCE 3,Asesoría uso servicio de Internet,19.13,19.13,COA_5
33795942,0122613835,RE29,0802,1,RCEE3CMXT5202,OS-61657873,46112,Drop 120m,Fibra Preconectorizada,Soporte,RCE 3,"Daño por trabajos de Otro Carrier (incluye Municipio, CFE, etc)",409.96,409.96,COA_6
33796514,0109899098,TE03,0262,250,TETM3CX2T0108,OS-61658343,46112,UNIFIBRA OPTICA,Fibra Optica Carrete,Soporte,TETSI 3,Falla Red Wifi ONT,3.13,782.5,COA_2
33796514,0109899098,TE03,0262,13,TETM3CX2T0108,OS-61658343,46112,TENSOR PARA ACOMETIDA,Miselaneo,Soporte,TETSI 3,Falla Red Wifi ONT,5.97,77.61,COA_2
33796514,0109899098,TE03,0262,7,TETM3CX2T0108,OS-61658343,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,TETSI 3,Falla Red Wifi ONT,9.07,63.49,COA_2
33796566,0142762336,RE29,0168,1,RCEE3CMXT1619,OS-61658383,46112,Drop 120m,Fibra Preconectorizada,Instalación,RCE 3,NA,409.96,409.96,COA_6
33796566,0142762336,RE29,0168,1,RCEE3CMXT1619,OS-61658383,46112,DIW362 WIFI4K2GB STB SAGEM C/CONTROL T4H,STB,Instalación,RCE 3,NA,#N/D,#N/D,COA_6
33796566,0142762336,RE29,0168,1,RCEE3CMXT1619,OS-61658383,46112,FIBERHOME ONT 4GE 1POTS DUALBAND HG6145F,ONT,Instalación,RCE 3,NA,3.6,3.6,COA_6
33796566,0142762336,RE29,0168,10,RCEE3CMXT1619,OS-61658383,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,64.3,COA_6
33796566,0142762336,RE29,0168,2,RCEE3CMXT1619,OS-61658383,46112,CONECTOR RJ45 CAT 6,Conector UTP,Instalación,RCE 3,NA,1.89,3.78,COA_6
33796566,0142762336,RE29,0168,2,RCEE3CMXT1619,OS-61658383,46112,TENSOR PARA ACOMETIDA,Miselaneo,Instalación,RCE 3,NA,5.97,11.94,COA_6
33796566,0142762336,RE29,0168,25,RCEE3CMXT1619,OS-61658383,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Instalación,RCE 3,NA,9.07,226.75,COA_6
33796620,0102290709,RE29,0802,2,RCEE3CMXT5202,OS-61658413,46112,CONECTOR RJ45 CAT 6,Conector UTP,Soporte,RCE 3,Problema De Ancho De Banda,1.89,3.78,COA_5
33796620,0102290709,RE29,0802,6,RCEE3CMXT5202,OS-61658413,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,Problema De Ancho De Banda,6.43,38.58,COA_5
33796620,0102290709,RE29,0802,1,RCEE3CMXT5202,OS-61658413,46112,ONT HUAWEI HG8145X6-10,ONT,Soporte,RCE 3,Problema De Ancho De Banda,537.99,537.99,COA_5
33796684,0106167947,RE29,0877,15,RCEE3CMXT5341,OS-61658459,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Addon Wifi Extender,RCE 3,NA,6.43,96.45,COA_1
33796684,0106167947,RE29,0877,1,RCEE3CMXT5341,OS-61658459,46112,HUAWEI OPTISTAR K562E,Extender,Addon Wifi Extender,RCE 3,NA,498.97,498.97,COA_1
33796725,0142762530,RE29,0876,17,RCEE3CMXT5340,OS-61658485,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,109.31,COA_7
33796725,0142762530,RE29,0876,1,RCEE3CMXT5340,OS-61658485,46112,HUWEI ONT HG8145V5,ONT,Instalación,RCE 3,NA,#N/D,#N/D,COA_7
33796725,0142762530,RE29,0876,1,RCEE3CMXT5340,OS-61658485,46112,VIDEO SOUNDBOX VSB3940 TPL,VSB,Instalación,RCE 3,NA,939.12,939.12,COA_7
33796725,0142762530,RE29,0876,1,RCEE3CMXT5340,OS-61658485,46112,Drop 100m,Fibra Preconectorizada,Instalación,RCE 3,NA,372.52,372.52,COA_7
33796908,0142762551,RE29,0849,1,RCEE3CMXT4743,OS-61658591,46112,Drop 120m,Fibra Preconectorizada,Instalación,RCE 3,NA,409.96,409.96,COA_5
33796908,0142762551,RE29,0849,1,RCEE3CMXT4743,OS-61658591,46112,DIW362 WI-FI 2X2 4K STB 2 GB SAGEM,STB,Instalación,RCE 3,NA,#N/D,#N/D,COA_5
33796908,0142762551,RE29,0849,1,RCEE3CMXT4743,OS-61658591,46112,ONT FIBERHOME HG145F1,ONT,Instalación,RCE 3,NA,520.27,520.27,COA_5
33796908,0142762551,RE29,0849,15,RCEE3CMXT4743,OS-61658591,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,96.45,COA_5
33797465,Hallazgos,RE29,1903,1,RCEE3CMXT5382,NA,46112,CINCHO NEGRO 0.36X15 CM C/100 PZAS,Miselaneo,Mantenimiento Mayor,RCE 3,NA,15.99,15.99,COA_2
